"";"_Spieltag";"Datum";"Uhrzeit";"Heimmannschaft";"Gastmannschaft";"Spielsystem";"Trainer";"Zuschauer";"Ergebnis";"country"
"120";"Gruppe D";"Do. 21.06.2018";"20:00";"Argentinien";"Kroatien";"3-4-2-1";"Jorge Sampaoli";"43.319";"0:3";"argentinien"
"121";"Gruppe D";"Di. 26.06.2018";"20:00";"Nigeria";"Argentinien";"4-3-3 offensiv";"Jorge Sampaoli";"64.468";"1:2";"argentinien"
"122";"Achtelfinale";"Sa. 30.06.2018";"16:00";"Frankreich";"Argentinien";"4-3-3 offensiv";"Jorge Sampaoli";"42.873";"4:3";"argentinien"
"123";"Gruppe C";"Di. 22.11.2022";"11:00";"Argentinien";"Saudi-Arabien";"?";"Lionel Scaloni";"";"-:-";"argentinien"
"124";"Gruppe C";"Sa. 26.11.2022";"20:00";"Argentinien";"Mexiko";"?";"Lionel Scaloni";"";"-:-";"argentinien"
"125";"Gruppe C";"Mi. 30.11.2022";"20:00";"Polen";"Argentinien";"?";"Lionel Scaloni";"";"-:-";"argentinien"
"126";"Gruppe E";"Mo. 14.06.2010";"13:30";"Niederlande";"Dänemark";"4-2-3-1";"Bert van Marwijk";"83.465";"2:0";"niederlande"
"127";"Gruppe E";"Sa. 19.06.2010";"13:30";"Niederlande";"Japan";"4-2-3-1";"Bert van Marwijk";"62.010";"1:0";"niederlande"
"128";"Gruppe E";"Do. 24.06.2010";"20:30";"Kamerun";"Niederlande";"4-2-3-1";"Bert van Marwijk";"63.093";"1:2";"niederlande"
"129";"Achtelfinale";"Mo. 28.06.2010";"16:00";"Niederlande";"Slowakei";"4-2-3-1";"Bert van Marwijk";"61.962";"2:1";"niederlande"
"130";"Viertelfinale";"Fr. 02.07.2010";"16:00";"Niederlande";"Brasilien";"4-2-3-1";"Bert van Marwijk";"40.186";"2:1";"niederlande"
"131";"Halbfinale";"Di. 06.07.2010";"20:30";"Uruguay";"Niederlande";"4-2-3-1";"Bert van Marwijk";"62.479";"2:3";"niederlande"
"132";"Finale";"So. 11.07.2010";"20:30";"Niederlande";"Spanien";"4-2-3-1";"Bert van Marwijk";"84.490";"0:1  n.V.";"niederlande"
"133";"Gruppe B";"Fr. 13.06.2014";"21:00";"Spanien";"Niederlande";"5-3-2";"Louis van Gaal";"48.173";"1:5";"niederlande"
"134";"Gruppe B";"Mi. 18.06.2014";"18:00";"Australien";"Niederlande";"5-3-2";"Louis van Gaal";"42.877";"2:3";"niederlande"
"135";"Gruppe B";"Mo. 23.06.2014";"18:00";"Niederlande";"Chile";"3-5-2";"Louis van Gaal";"62.699";"2:0";"niederlande"
"136";"Achtelfinale";"So. 29.06.2014";"18:00";"Niederlande";"Mexiko";"3-5-2";"Louis van Gaal";"58.817";"2:1";"niederlande"
"137";"Viertelfinale";"Sa. 05.07.2014";"22:00";"Niederlande";"Costa Rica";"3-4-3";"Louis van Gaal";"51.179";"4:3  n.E.";"niederlande"
"138";"Halbfinale";"Mi. 09.07.2014";"22:00";"Niederlande";"Argentinien";"3-5-2";"Louis van Gaal";"63.267";"2:4  n.E.";"niederlande"
"139";"Spiel um Platz Drei";"Sa. 12.07.2014";"22:00";"Brasilien";"Niederlande";"3-5-2";"Louis van Gaal";"68.034";"0:3";"niederlande"
"140";"Gruppe A";"Mo. 21.11.2022";"17:00";"Senegal";"Niederlande";"?";"Louis van Gaal";"";"-:-";"niederlande"
"141";"Gruppe A";"Fr. 25.11.2022";"17:00";"Niederlande";"Ecuador";"?";"Louis van Gaal";"";"-:-";"niederlande"
"142";"Gruppe A";"Di. 29.11.2022";"16:00";"Niederlande";"Katar";"?";"Louis van Gaal";"";"-:-";"niederlande"
"143";"Gruppe A";"Fr. 11.06.2010";"20:30";"Uruguay";"Frankreich";"3-5-2";"Óscar Tabárez";"64.100";"0:0";"uruguay"
"144";"Gruppe A";"Mi. 16.06.2010";"20:30";"Südafrika";"Uruguay";"4-4-2 Raute";"Óscar Tabárez";"42.658";"0:3";"uruguay"
"145";"Gruppe A";"Di. 22.06.2010";"16:00";"Mexiko";"Uruguay";"4-4-2 Raute";"Óscar Tabárez";"33.425";"0:1";"uruguay"
"146";"Achtelfinale";"Sa. 26.06.2010";"16:00";"Uruguay";"Südkorea";"4-4-2 Raute";"Óscar Tabárez";"30.597";"2:1";"uruguay"
"147";"Viertelfinale";"Fr. 02.07.2010";"20:30";"Uruguay";"Ghana";"4-4-2 doppel 6";"Óscar Tabárez";"84.000";"5:3  n.E.";"uruguay"
"148";"Halbfinale";"Di. 06.07.2010";"20:30";"Uruguay";"Niederlande";"4-4-2 doppel 6";"Óscar Tabárez";"62.479";"2:3";"uruguay"
"149";"Spiel um Platz Drei";"Sa. 10.07.2010";"20:30";"Uruguay";"Deutschland";"4-4-2 doppel 6";"Óscar Tabárez";"36.254";"2:3";"uruguay"
"150";"Gruppe D";"Sa. 14.06.2014";"21:00";"Uruguay";"Costa Rica";"4-4-2 doppel 6";"Óscar Tabárez";"58.679";"1:3";"uruguay"
"151";"Gruppe D";"Do. 19.06.2014";"21:00";"Uruguay";"England";"4-4-2 Raute";"Óscar Tabárez";"62.103";"2:1";"uruguay"
"152";"Gruppe D";"Di. 24.06.2014";"18:00";"Italien";"Uruguay";"4-4-2 Raute";"Óscar Tabárez";"39.000";"0:1";"uruguay"
"153";"Achtelfinale";"Sa. 28.06.2014";"22:00";"Kolumbien";"Uruguay";"5-3-2";"Óscar Tabárez";"73.804";"2:0";"uruguay"
"154";"Gruppe A";"Fr. 15.06.2018";"14:00";"Ägypten";"Uruguay";"4-4-2";"Óscar Tabárez";"27.015";"0:1";"uruguay"
"155";"Gruppe A";"Mi. 20.06.2018";"17:00";"Uruguay";"Saudi-Arabien";"4-4-2";"Óscar Tabárez";"42.678";"1:0";"uruguay"
"156";"Gruppe A";"Mo. 25.06.2018";"16:00";"Uruguay";"Russland";"4-3-1-2";"Óscar Tabárez";"41.970";"3:0";"uruguay"
"157";"Achtelfinale";"Sa. 30.06.2018";"20:00";"Uruguay";"Portugal";"4-3-1-2";"Óscar Tabárez";"44.287";"2:1";"uruguay"
"158";"Viertelfinale";"Fr. 06.07.2018";"16:00";"Uruguay";"Frankreich";"4-3-1-2";"Óscar Tabárez";"43.319";"0:2";"uruguay"
"159";"Gruppe H";"Do. 24.11.2022";"14:00";"Uruguay";"Südkorea";"?";"Diego Alonso";"";"-:-";"uruguay"
"160";"Gruppe H";"Mo. 28.11.2022";"20:00";"Portugal";"Uruguay";"?";"Diego Alonso";"";"-:-";"uruguay"
"161";"Gruppe H";"Fr. 02.12.2022";"16:00";"Ghana";"Uruguay";"?";"Diego Alonso";"";"-:-";"uruguay"
"162";"Gruppe D";"So. 13.06.2010";"16:00";"Serbien";"Ghana";"4-4-2";"Radomir Antić";"38.833";"0:1";"serbien"
"163";"Gruppe D";"Fr. 18.06.2010";"13:30";"Deutschland";"Serbien";"4-3-3 offensiv";"Radomir Antić";"38.294";"0:1";"serbien"
"164";"Gruppe D";"Mi. 23.06.2010";"20:30";"Australien";"Serbien";"4-3-3 defensiv";"Radomir Antić";"37.836";"2:1";"serbien"
"165";"Gruppe E";"So. 17.06.2018";"14:00";"Costa Rica";"Serbien";"4-2-3-1";"Mladen Krstajic";"41.970";"0:1";"serbien"
"166";"Gruppe E";"Fr. 22.06.2018";"20:00";"Serbien";"Schweiz";"4-2-3-1";"Mladen Krstajic";"33.167";"1:2";"serbien"
"167";"Gruppe E";"Mi. 27.06.2018";"20:00";"Serbien";"Brasilien";"4-2-3-1";"Mladen Krstajic";"44.190";"0:2";"serbien"
"168";"Gruppe G";"Do. 24.11.2022";"20:00";"Brasilien";"Serbien";"?";"Dragan Stojkovic";"";"-:-";"serbien"
"169";"Gruppe G";"Mo. 28.11.2022";"11:00";"Kamerun";"Serbien";"?";"Dragan Stojkovic";"";"-:-";"serbien"
"170";"Gruppe G";"Fr. 02.12.2022";"20:00";"Serbien";"Schweiz";"?";"Dragan Stojkovic";"";"-:-";"serbien"
"171";"Gruppe A";"Do. 12.06.2014";"22:00";"Brasilien";"Kroatien";"4-2-3-1";"Niko Kovac";"62.103";"3:1";"kroatien"
"172";"Gruppe A";"Do. 19.06.2014";"00:00";"Kamerun";"Kroatien";"4-2-3-1";"Niko Kovac";"39.982";"0:4";"kroatien"
"173";"Gruppe A";"Mo. 23.06.2014";"22:00";"Kroatien";"Mexiko";"4-3-3 defensiv";"Niko Kovac";"41.212";"1:3";"kroatien"
"174";"Gruppe D";"Sa. 16.06.2018";"21:00";"Kroatien";"Nigeria";"4-2-3-1";"Zlatko Dalic";"31.136";"2:0";"kroatien"
"175";"Gruppe D";"Do. 21.06.2018";"20:00";"Argentinien";"Kroatien";"4-3-3 offensiv";"Zlatko Dalic";"43.319";"0:3";"kroatien"
"176";"Gruppe D";"Di. 26.06.2018";"20:00";"Island";"Kroatien";"4-3-3 offensiv";"Zlatko Dalic";"43.472";"1:2";"kroatien"
"177";"Achtelfinale";"So. 01.07.2018";"20:00";"Kroatien";"Dänemark";"4-3-3 offensiv";"Zlatko Dalic";"43.319";"4:3  n.E.";"kroatien"
"178";"Viertelfinale";"Sa. 07.07.2018";"20:00";"Russland";"Kroatien";"4-2-3-1";"Zlatko Dalic";"44.287";"5:6  n.E.";"kroatien"
"179";"Halbfinale";"Mi. 11.07.2018";"20:00";"Kroatien";"England";"4-3-3 offensiv";"Zlatko Dalic";"78.011";"2:1  n.V.";"kroatien"
"180";"Finale";"So. 15.07.2018";"17:00";"Frankreich";"Kroatien";"4-3-3 offensiv";"Zlatko Dalic";"78.011";"4:2";"kroatien"
"181";"Gruppe F";"Mi. 23.11.2022";"11:00";"Marokko";"Kroatien";"?";"Zlatko Dalic";"";"-:-";"kroatien"
"182";"Gruppe F";"So. 27.11.2022";"17:00";"Kroatien";"Kanada";"?";"Zlatko Dalic";"";"-:-";"kroatien"
"183";"Gruppe F";"Do. 01.12.2022";"16:00";"Kroatien";"Belgien";"?";"Zlatko Dalic";"";"-:-";"kroatien"
"184";"Gruppe H";"Di. 17.06.2014";"18:00";"Belgien";"Algerien";"4-2-3-1";"Marc Wilmots";"56.800";"2:1";"belgien"
"185";"Gruppe H";"So. 22.06.2014";"18:00";"Belgien";"Russland";"4-2-3-1";"Marc Wilmots";"73.819";"1:0";"belgien"
"186";"Gruppe H";"Do. 26.06.2014";"22:00";"Südkorea";"Belgien";"4-2-3-1";"Marc Wilmots";"61.397";"0:1";"belgien"
"187";"Achtelfinale";"Di. 01.07.2014";"22:00";"Belgien";"Vereinigte Staaten";"4-2-3-1";"Marc Wilmots";"51.227";"2:1  n.V.";"belgien"
"188";"Viertelfinale";"Sa. 05.07.2014";"18:00";"Argentinien";"Belgien";"4-2-3-1";"Marc Wilmots";"68.551";"1:0";"belgien"
"189";"Gruppe G";"Mo. 18.06.2018";"17:00";"Belgien";"Panama";"3-4-2-1";"Roberto Martínez";"43.257";"3:0";"belgien"
"190";"Gruppe G";"Sa. 23.06.2018";"14:00";"Belgien";"Tunesien";"3-4-2-1";"Roberto Martínez";"44.190";"5:2";"belgien"
"191";"Gruppe G";"Do. 28.06.2018";"20:00";"England";"Belgien";"3-4-2-1";"Roberto Martínez";"33.973";"0:1";"belgien"
"192";"Achtelfinale";"Mo. 02.07.2018";"20:00";"Belgien";"Japan";"3-4-2-1";"Roberto Martínez";"41.466";"3:2";"belgien"
"193";"Viertelfinale";"Fr. 06.07.2018";"20:00";"Brasilien";"Belgien";"4-3-3 offensiv";"Roberto Martínez";"42.873";"1:2";"belgien"
"194";"Halbfinale";"Di. 10.07.2018";"20:00";"Frankreich";"Belgien";"3-4-2-1";"Roberto Martínez";"64.286";"1:0";"belgien"
"195";"Spiel um Platz Drei";"Sa. 14.07.2018";"16:00";"Belgien";"England";"3-4-2-1";"Roberto Martínez";"64.406";"2:0";"belgien"
"196";"Gruppe F";"Mi. 23.11.2022";"20:00";"Belgien";"Kanada";"?";"Roberto Martínez";"";"-:-";"belgien"
"197";"Gruppe F";"So. 27.11.2022";"14:00";"Belgien";"Marokko";"?";"Roberto Martínez";"";"-:-";"belgien"
"198";"Gruppe F";"Do. 01.12.2022";"16:00";"Kroatien";"Belgien";"?";"Roberto Martínez";"";"-:-";"belgien"
"199";"Gruppe H";"Di. 19.06.2018";"17:00";"Polen";"Senegal";"4-4-2 doppel 6";"Adam Nawalka";"44.190";"1:2";"polen"
"200";"Gruppe H";"So. 24.06.2018";"20:00";"Polen";"Kolumbien";"5-4-1 flach";"Adam Nawalka";"42.873";"0:3";"polen"
"201";"Gruppe H";"Do. 28.06.2018";"16:00";"Japan";"Polen";"5-4-1 flach";"Adam Nawalka";"42.189";"0:1";"polen"
"202";"Gruppe C";"Di. 22.11.2022";"17:00";"Mexiko";"Polen";"?";"Czeslaw Michniewicz";"";"-:-";"polen"
"203";"Gruppe C";"Sa. 26.11.2022";"14:00";"Polen";"Saudi-Arabien";"?";"Czeslaw Michniewicz";"";"-:-";"polen"
"204";"Gruppe C";"Mi. 30.11.2022";"20:00";"Polen";"Argentinien";"?";"Czeslaw Michniewicz";"";"-:-";"polen"
"205";"Gruppe H";"Di. 19.06.2018";"17:00";"Polen";"Senegal";"4-4-2 doppel 6";"Aliou Cissé";"44.190";"1:2";"senegal"
"206";"Gruppe H";"So. 24.06.2018";"17:00";"Japan";"Senegal";"4-3-3 offensiv";"Aliou Cissé";"32.572";"2:2";"senegal"
"207";"Gruppe H";"Do. 28.06.2018";"16:00";"Senegal";"Kolumbien";"4-4-2 doppel 6";"Aliou Cissé";"41.970";"0:1";"senegal"
"208";"Gruppe A";"Mo. 21.11.2022";"17:00";"Senegal";"Niederlande";"?";"Aliou Cissé";"";"-:-";"senegal"
"209";"Gruppe A";"Fr. 25.11.2022";"14:00";"Katar";"Senegal";"?";"Aliou Cissé";"";"-:-";"senegal"
"210";"Gruppe A";"Di. 29.11.2022";"16:00";"Ecuador";"Senegal";"?";"Aliou Cissé";"";"-:-";"senegal"
"211";"Gruppe E";"Mo. 14.06.2010";"13:30";"Niederlande";"Dänemark";"4-3-3 offensiv";"Morten Olsen";"83.465";"2:0";"danemark"
"212";"Gruppe E";"Sa. 19.06.2010";"20:30";"Kamerun";"Dänemark";"4-2-3-1";"Morten Olsen";"38.000";"1:2";"danemark"
"213";"Gruppe E";"Do. 24.06.2010";"20:30";"Dänemark";"Japan";"4-2-3-1";"Morten Olsen";"27.967";"1:3";"danemark"
"214";"Gruppe C";"Sa. 16.06.2018";"18:00";"Peru";"Dänemark";"4-2-3-1";"Age Hareide";"40.502";"0:1";"danemark"
"215";"Gruppe C";"Do. 21.06.2018";"14:00";"Dänemark";"Australien";"4-2-3-1";"Age Hareide";"40.727";"1:1";"danemark"
"216";"Gruppe C";"Di. 26.06.2018";"16:00";"Dänemark";"Frankreich";"4-2-3-1";"Age Hareide";"78.011";"0:0";"danemark"
"217";"Achtelfinale";"So. 01.07.2018";"20:00";"Kroatien";"Dänemark";"4-2-3-1";"Age Hareide";"43.319";"4:3  n.E.";"danemark"
"218";"Gruppe D";"Di. 22.11.2022";"14:00";"Dänemark";"Tunesien";"?";"Kasper Hjulmand";"";"-:-";"danemark"
"219";"Gruppe D";"Sa. 26.11.2022";"17:00";"Frankreich";"Dänemark";"?";"Kasper Hjulmand";"";"-:-";"danemark"
"220";"Gruppe D";"Mi. 30.11.2022";"16:00";"Australien";"Dänemark";"?";"Kasper Hjulmand";"";"-:-";"danemark"
"221";"Gruppe H";"Mi. 16.06.2010";"16:00";"Spanien";"Schweiz";"4-4-2 doppel 6";"Ottmar Hitzfeld";"62.452";"0:1";"schweiz"
"222";"Gruppe H";"Mo. 21.06.2010";"16:00";"Chile";"Schweiz";"4-4-2 doppel 6";"Ottmar Hitzfeld";"34.872";"1:0";"schweiz"
"223";"Gruppe H";"Fr. 25.06.2010";"20:30";"Schweiz";"Honduras";"4-4-2 doppel 6";"Ottmar Hitzfeld";"28.042";"0:0";"schweiz"
"224";"Gruppe E";"So. 15.06.2014";"18:00";"Schweiz";"Ecuador";"4-2-3-1";"Ottmar Hitzfeld";"68.351";"2:1";"schweiz"
"225";"Gruppe E";"Fr. 20.06.2014";"21:00";"Schweiz";"Frankreich";"4-2-3-1";"Ottmar Hitzfeld";"51.003";"2:5";"schweiz"
"226";"Gruppe E";"Mi. 25.06.2014";"22:00";"Honduras";"Schweiz";"4-2-3-1";"Ottmar Hitzfeld";"40.322";"0:3";"schweiz"
"227";"Achtelfinale";"Di. 01.07.2014";"18:00";"Argentinien";"Schweiz";"4-2-3-1";"Ottmar Hitzfeld";"63.255";"1:0  n.V.";"schweiz"
"228";"Gruppe E";"So. 17.06.2018";"20:00";"Brasilien";"Schweiz";"4-2-3-1";"Vladimir Petkovic";"43.472";"1:1";"schweiz"
"229";"Gruppe E";"Fr. 22.06.2018";"20:00";"Serbien";"Schweiz";"4-2-3-1";"Vladimir Petkovic";"33.167";"1:2";"schweiz"
"230";"Gruppe E";"Mi. 27.06.2018";"20:00";"Schweiz";"Costa Rica";"4-2-3-1";"Vladimir Petkovic";"43.319";"2:2";"schweiz"
"231";"Achtelfinale";"Di. 03.07.2018";"16:00";"Schweden";"Schweiz";"4-2-3-1";"Vladimir Petkovic";"64.042";"1:0";"schweiz"
"232";"Gruppe G";"Do. 24.11.2022";"11:00";"Schweiz";"Kamerun";"?";"Murat Yakin";"";"-:-";"schweiz"
"233";"Gruppe G";"Mo. 28.11.2022";"17:00";"Brasilien";"Schweiz";"?";"Murat Yakin";"";"-:-";"schweiz"
"234";"Gruppe G";"Fr. 02.12.2022";"20:00";"Serbien";"Schweiz";"?";"Murat Yakin";"";"-:-";"schweiz"
"235";"Gruppe B";"Fr. 15.06.2018";"17:00";"Marokko";"Iran";"4-2-3-1";"Hervé Renard";"62.548";"0:1";"marokko"
"236";"Gruppe B";"Mi. 20.06.2018";"14:00";"Portugal";"Marokko";"4-2-3-1";"Hervé Renard";"78.011";"1:0";"marokko"
"237";"Gruppe B";"Mo. 25.06.2018";"20:00";"Spanien";"Marokko";"4-2-3-1";"Hervé Renard";"33.973";"2:2";"marokko"
"238";"Gruppe F";"Mi. 23.11.2022";"11:00";"Marokko";"Kroatien";"?";"Vahid Halilhodzic";"";"-:-";"marokko"
"239";"Gruppe F";"So. 27.11.2022";"14:00";"Belgien";"Marokko";"?";"Vahid Halilhodzic";"";"-:-";"marokko"
"240";"Gruppe F";"Do. 01.12.2022";"16:00";"Kanada";"Marokko";"?";"Vahid Halilhodzic";"";"-:-";"marokko"
"241";"Gruppe C";"Sa. 12.06.2010";"20:30";"England";"Vereinigte Staaten";"4-4-2 doppel 6";"Bob Bradley";"38.646";"1:1";"vereinigte-staaten"
"242";"Gruppe C";"Fr. 18.06.2010";"16:00";"Slowenien";"Vereinigte Staaten";"4-4-2 doppel 6";"Bob Bradley";"45.573";"2:2";"vereinigte-staaten"
"243";"Gruppe C";"Mi. 23.06.2010";"16:00";"Vereinigte Staaten";"Algerien";"4-4-2 doppel 6";"Bob Bradley";"35.827";"1:0";"vereinigte-staaten"
